SL No.,Tender/RFQ ID,Tender Description,Reference No.,Department,Opening Date,Closing Date,Time left (DD:HH:MM),Portal,State,Matched Keywords,URL
1857,312767,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-14 DT:09-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-14 DT:09-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1858,312692,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-07 DT:09-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-07 DT:09-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1859,312314,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-03 DT:08-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-03 DT:08-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1860,312177,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-02 DT:08-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,KIM/O&M/TECH/N-PROCURE/26-27/01/SR-02 DT:08-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-KIM INDUSTRIAL DIVISION,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1861,310715,T-24 DGVCLSDPND/0254/05/2026 Approved Date: 02-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Surat Industrial,T-24 DGVCLSDPND/0254/05/2026 Approved Date: 02-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Surat Industrial,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1862,312070,DGVCLDRND/0163/06/2026 Approved Date: 06-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Rander,DGVCLDRND/0163/06/2026 Approved Date: 06-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Rander,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1863,314684,DHR/AB/TECH/26-27/25 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/25 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1864,314650,DHR/AB/TECH/26-27/24 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/24 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1865,314632,DHR/AB/TECH/26-27/23 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/23 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1866,314615,DHR/AB/TECH/26-27/22 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/22 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1867,314609,DHR/AB/TECH/26-27/21 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/21 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1868,314593,DHR/AB/TECH/26-27/20 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/20 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1869,314577,DHR/AB/TECH/26-27/19 Dtd: 16/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/19 Dtd: 16/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1870,312128,DHR/AB/TECH/26-27/16 Dtd: 06/06/2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,DHR/AB/TECH/26-27/16 Dtd: 06/06/2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Division Office - Dharampur,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1871,304588,DGVCL/SP/2647/ G I Bolt for LT Shackle Insulator (Non Critical Item) - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-DGVCL Corporate office Surat,DGVCL/SP/2647/ G I Bolt for LT Shackle Insulator (Non Critical Item),Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-DGVCL Corporate office Surat,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1872,260512,DGVCL/SP/2660/11 KV HTMC with Resin Cast CTs and PTs - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-DGVCL Corporate office Surat,DGVCL/SP/2660/11 KV HTMC with Resin Cast CTs and PTs,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-DGVCL Corporate office Surat,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1873,309558,DGVCL/VALSAD-CITY DO/E-TENDER/2026-27/7 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-City Division Valsad,DGVCL/VALSAD-CITY DO/E-TENDER/2026-27/7,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-City Division Valsad,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1874,305292,GVCL/VALSAD-CITY DO/E-TENDER/2026-27/04 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-City Division Valsad,GVCL/VALSAD-CITY DO/E-TENDER/2026-27/04,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-City Division Valsad,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1875,312278,DGVCLCSC/0072/06/2026 Approved Date: 06-06-2026 - Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Circle Office - Surat City,DGVCLCSC/0072/06/2026 Approved Date: 06-06-2026,Dakshin Gujarat Vij Company Ltd. (DGVCL)-Energy And Petrochemicals Department-Circle Office - Surat City,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1876,312036,W.M./ 01 /(2026 -2027) - Ahmedabad Municipal Transport Service-Urban Development and Urban Housing Department-Workshop Department,W.M./ 01 /(2026 -2027),Ahmedabad Municipal Transport Service-Urban Development and Urban Housing Department-Workshop Department,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1877,313960,02/2026-2027 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Water Production Department,02/2026-2027,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Water Production Department,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1878,312084,E -Tender Notice No: 01/2026-27 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Solid Waste Management,E -Tender Notice No: 01/2026-27,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Solid Waste Management,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1879,247325,SCADL_RFP_25-26_04 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Smart City Ahmedabad Development Limited,SCADL_RFP_25-26_04,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Smart City Ahmedabad Development Limited,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1880,308653,2026-27 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Sabarmati River Front Development Corporation Ltd. (SRFDCL),2026-27,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-Sabarmati River Front Development Corporation Ltd. (SRFDCL),,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1881,308281,2026-2027 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-STP DEPARTMENT,2026-2027,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-STP DEPARTMENT,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1882,293526,2025-26 - Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-STP DEPARTMENT,2025-26,Ahmedabad Municipal Corporation-Urban Development and Urban Housing Department-STP DEPARTMENT,,2026-06-24,00:04:32,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1883,312686,"02 of 2026-27 - Water and Sanitation Management Organization-Narmada and Water Resources, Water Supply and Kalpsar Department-WATER AND SANITATION UNIT - NARMADA",02 of 2026-27,"Water and Sanitation Management Organization-Narmada and Water Resources, Water Supply and Kalpsar Department-WATER AND SANITATION UNIT - NARMADA",,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1884,312671,"02/ 2026-27 - Water and Sanitation Management Organization-Narmada and Water Resources, Water Supply and Kalpsar Department-WATER AND SANITATION UNIT - NARMADA",02/ 2026-27,"Water and Sanitation Management Organization-Narmada and Water Resources, Water Supply and Kalpsar Department-WATER AND SANITATION UNIT - NARMADA",,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1885,314653,1 Of 2026-27 - Vapi Municipal Corporation-Urban Development & Urban Housing Department-Vapi Municipal Corporation,1 Of 2026-27,Vapi Municipal Corporation-Urban Development & Urban Housing Department-Vapi Municipal Corporation,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1886,314466,1 Of 2026-27 - Vapi Municipal Corporation-Urban Development & Urban Housing Department-Vapi Municipal Corporation,1 Of 2026-27,Vapi Municipal Corporation-Urban Development & Urban Housing Department-Vapi Municipal Corporation,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1887,311080,125/2026-27 - Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Water Works Project,125/2026-27,Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Water Works Project,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1888,310279,125/2026-27 - Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Water Works Project,125/2026-27,Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Water Works Project,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1889,313254,154/26-27 - Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Vadodara Mahanagar Seva Sadan,154/26-27,Vadodara Mahanagar Seva Sadan-Urban Development and Urban Housing Department-Vadodara Mahanagar Seva Sadan,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1890,313293,VGL/CO/C&P-PNG/BD202605P323 - Vadodara Gas Limited-Energy And Petrochemicals Department-Vadodara Gas Limited,VGL/CO/C&P-PNG/BD202605P323,Vadodara Gas Limited-Energy And Petrochemicals Department-Vadodara Gas Limited,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1891,313277,VGL/CO/C&P-PNG/BD202606S328 - Vadodara Gas Limited-Energy And Petrochemicals Department-Vadodara Gas Limited,VGL/CO/C&P-PNG/BD202606S328,Vadodara Gas Limited-Energy And Petrochemicals Department-Vadodara Gas Limited,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1892,310995,UGVCL/BLD DO/E-TENDER/2026-27/No-07 - Uttar Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Bhiloda,UGVCL/BLD DO/E-TENDER/2026-27/No-07,Uttar Gujarat Vij Company Limited-Energy And Petrochemicals Department-Division Office - Bhiloda,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1893,314638,2026 - Tourism Corporation of Gujarat Limited-Industries and Mines Department-Tourism Corporation of Gujarat Limited,2026,Tourism Corporation of Gujarat Limited-Industries and Mines Department-Tourism Corporation of Gujarat Limited,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1894,314584,2026 - Tourism Corporation of Gujarat Limited-Industries and Mines Department-Tourism Corporation of Gujarat Limited,2026,Tourism Corporation of Gujarat Limited-Industries and Mines Department-Tourism Corporation of Gujarat Limited,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1895,313441,19/2026 - The Agricultural Produce Market Committee-Agriculture & Co-operation Department-Agricultural Produce Market Committee - Botad,19/2026,The Agricultural Produce Market Committee-Agriculture & Co-operation Department-Agricultural Produce Market Committee - Botad,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1896,313434,18/2026 - The Agricultural Produce Market Committee-Agriculture & Co-operation Department-Agricultural Produce Market Committee - Botad,18/2026,The Agricultural Produce Market Committee-Agriculture & Co-operation Department-Agricultural Produce Market Committee - Botad,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1897,311456,"02 of 2026-27 - Statue of Unity Area Development and Tourism Governance Authority-Urban Development and Urban Housing Department-Executive Engineer, Division-3, SOUADTGA",02 of 2026-27,"Statue of Unity Area Development and Tourism Governance Authority-Urban Development and Urban Housing Department-Executive Engineer, Division-3, SOUADTGA",,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1898,314014,"05 of 2026-27 (2nd Attempt) - Statue of Unity Area Development and Tourism Governance Authority-Urban Development and Urban Housing Department-Executive Engineer Division-2 - SoUADTGA,",05 of 2026-27 (2nd Attempt),"Statue of Unity Area Development and Tourism Governance Authority-Urban Development and Urban Housing Department-Executive Engineer Division-2 - SoUADTGA,",,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1899,314637,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1900,314631,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1901,314625,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1902,314616,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1903,314601,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1904,314595,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1905,314592,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1906,314583,08 Of 2026-27 - Roads and Buildings-Roads and Buildings-Valsad Division,08 Of 2026-27,Roads and Buildings-Roads and Buildings-Valsad Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1907,313189,03 of 2026-27 - Roads and Buildings-Roads and Buildings-Vadodara Mechanical Division,03 of 2026-27,Roads and Buildings-Roads and Buildings-Vadodara Mechanical Division,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
1908,314046,06 of 2026-27 - Roads and Buildings-Roads and Buildings-Vadodara Circle,06 of 2026-27,Roads and Buildings-Roads and Buildings-Vadodara Circle,,2026-06-23,Closed,nProcure,Gujarat,,https://tender.nprocure.com/dashboard/getTenderClosingData
